ID,DOSE,TIME,CONC,CPT
6,60,0.25,3751.764,Heart
6,60,0.5,10119.44,Heart
6,60,1,2099.611,Heart
6,60,2,6178.364,Heart
6,60,4,664.3032,Heart
6,60,8,2323.34,Heart
6,60,12,550.7177,Heart
6,60,16,535.2287,Heart
6,60,0,0,Intestine
6,60,0.25,128041.9,Intestine
6,60,0.5,153168.3,Intestine
6,60,1,5231.818,Intestine
6,60,2,76584.17,Intestine
6,60,4,1679.689,Intestine
6,60,8,5903.005,Intestine
6,60,12,2065.191,Intestine
6,60,16,1208.137,Intestine
6,60,0,0,Kidney
6,60,0.25,8931.952,Kidney
6,60,0.5,32010.46,Kidney
6,60,1,10222.7,Kidney
6,60,2,30461.57,Kidney
6,60,4,5644.856,Kidney
6,60,8,17123.88,Kidney
6,60,12,4543.42,Kidney
6,60,16,3803.394,Kidney
6,60,0,0,Liver
6,60,0.25,45606.3,Liver
6,60,0.5,63504.63,Liver
6,60,1,8536.124,Liver
6,60,2,37173.44,Liver
6,60,4,3872.233,Liver
6,60,8,14834.96,Liver
6,60,12,2633.119,Liver
6,60,16,2615.909,Liver
6,60,0,0,Lung
6,60,0.25,10308.75,Lung
6,60,0.5,36140.85,Lung
6,60,1,12649.3,Lung
6,60,2,42852.72,Lung
6,60,4,7520.738,Lung
6,60,8,28740.58,Lung
6,60,12,6109.524,Lung
6,60,16,5438.337,Lung
6,60,0,0,Muscle
6,60,0.25,676.3501,Muscle
6,60,0.5,3218.256,Muscle
6,60,1,629.8833,Muscle
6,60,2,2478.229,Muscle
6,60,4,201.3561,Muscle
6,60,8,905.2421,Muscle
6,60,12,156.9545,Muscle
6,60,16,159.7081,Muscle
6,60,0,0,Plasma
6,60,0.25,4164.802,Plasma
6,60,0.5,9448.25,Plasma
6,60,1,2065.191,Plasma
6,60,2,5679.276,Plasma
6,60,4,815.7505,Plasma
6,60,8,2151.241,Plasma
6,60,12,628.1624,Plasma
6,60,16,505.9718,Plasma
7,90,0,0,Brain
7,90,0.25,29.60107,Brain
7,90,0.5,65.74192,Brain
7,90,1,40.09913,Brain
7,90,2,612.6734,Brain
7,90,4,20.82401,Brain
7,90,8,73.65849,Brain
7,90,12,7.727257,Brain
7,90,16,21.51241,Brain
7,90,0,0,Fat
7,90,0.25,261.5909,Fat
7,90,0.5,3476.405,Fat
7,90,1,2426.6,Fat
7,90,2,252.9859,Fat
7,90,4,2409.39,Fat
7,90,8,111.3482,Fat
7,90,12,53.52287,Fat
7,90,16,13.0107,Fat
7,90,0,0,Heart
7,90,0.25,124.5999,Heart
7,90,0.5,5421.127,Heart
7,90,1,3545.245,Heart
7,90,2,22372.9,Heart
7,90,4,1273.535,Heart
7,90,8,1041.201,Heart
7,90,12,110.4877,Heart
7,90,16,368.2924,Heart
7,90,0,0,Intestine
7,90,0.25,144907.6,Intestine
7,90,0.5,81230.85,Intestine
7,90,1,4784.359,Intestine
7,90,2,85361.23,Intestine
7,90,4,2564.279,Intestine
7,90,8,7761.677,Intestine
7,90,12,855.3334,Intestine
7,90,16,5438.337,Intestine
7,90,0,0,Kidney
7,90,0.25,371.7344,Kidney
7,90,0.5,17382.03,Kidney
7,90,1,8054.246,Kidney
7,90,2,67290.81,Kidney
7,90,4,8312.395,Kidney
7,90,8,11289.71,Kidney
7,90,12,1223.626,Kidney
7,90,16,3510.825,Kidney
7,90,0,0,Liver
7,90,0.25,1605.686,Liver
7,90,0.5,31322.07,Liver
7,90,1,6918.391,Liver
7,90,2,86049.63,Liver
7,90,4,5868.585,Liver
7,90,8,8002.616,Liver
7,90,12,722.8169,Liver
7,90,16,3803.394,Liver
7,90,0,0,Lung
7,90,0.25,666.0242,Lung
7,90,0.5,20135.61,Lung
7,90,1,24954.39,Lung
7,90,2,164182.7,Lung
7,90,4,16005.23,Lung
7,90,8,38206.04,Lung
7,90,12,2185.661,Lung
7,90,16,6643.032,Lung
7,90,0,0,Muscle
7,90,0.25,25.98699,Muscle
7,90,0.5,1431.866,Muscle
7,90,1,3028.947,Muscle
7,90,2,7228.169,Muscle
7,90,4,352.8035,Muscle
7,90,8,609.2314,Muscle
7,90,12,116.3391,Muscle
7,90,16,92.4173,Muscle
7,90,0,0,Plasma
7,90,0.25,344.1985,Plasma
7,90,0.5,4904.829,Plasma
7,90,1,1875.882,Plasma
7,90,2,19103.02,Plasma
7,90,4,1404.33,Plasma
7,90,8,1196.09,Plasma
7,90,12,155.9219,Plasma
7,90,16,526.6238,Plasma
8,90,0,0,Brain
8,90,0.25,62.98833,Brain
8,90,0.5,35.62455,Brain
8,90,1,659.1402,Brain
8,90,2,24.95439,Brain
8,90,4,581.6955,Brain
8,90,8,130.9675,Brain
8,90,12,14.06051,Brain
8,90,16,42.50852,Brain
